date,household_stress_index,digital_spend_index,jobs_interest_index,unga,maize flour,fuel price,rent,loan,internet bundles,safaricom bundles,smartphone price,laptop price,jobs in kenya,vacancies,BrighterMonday
2023-11-26,10.880829015544045,54.20560747663551,33.673469387755105,7,6,7,17,61,0,58,9,70,62,37,0
2023-12-03,8.29015544041451,57.009345794392516,38.77551020408163,5,4,6,18,60,0,56,12,72,62,42,0
2023-12-10,18.13471502590673,48.598130841121495,34.69387755102042,9,3,15,17,68,0,69,0,62,60,39,1
2023-12-17,10.880829015544045,46.728971962616825,28.57142857142857,7,6,9,16,60,0,73,0,56,59,35,0
2023-12-24,8.29015544041451,64.48598130841121,22.448979591836732,6,3,7,17,60,0,75,12,61,57,31,0
2023-12-31,13.989637305699482,76.63551401869158,57.14285714285714,4,5,10,19,66,0,74,13,74,78,43,1
2024-01-07,11.917098445595855,50.467289719626166,66.3265306122449,5,4,6,17,68,0,60,0,73,83,47,1
2024-01-14,15.544041450777197,53.271028037383175,63.26530612244897,7,5,13,19,63,0,55,0,81,83,45,0
2024-01-21,11.398963730569948,60.747663551401864,70.40816326530613,5,4,8,18,64,0,51,0,93,84,50,1
2024-01-28,9.326424870466319,55.140186915887845,50.000000000000014,6,5,8,18,58,0,52,10,76,73,41,1
2024-02-04,5.181347150259063,43.925233644859816,42.85714285714286,6,5,5,16,55,0,51,0,75,71,37,0
2024-02-11,2.590673575129529,30.8411214953271,42.85714285714286,5,3,12,14,48,0,41,10,61,71,37,0
2024-02-18,2.072538860103624,35.51401869158878,45.91836734693878,6,3,6,16,50,0,44,0,73,70,40,1
2024-02-25,2.590673575129529,33.64485981308411,33.673469387755105,6,4,6,17,49,0,51,0,64,63,36,0
2024-03-03,3.108808290155443,44.85981308411215,34.69387755102042,5,6,6,16,50,0,51,12,64,63,37,0
2024-03-10,7.772020725388597,48.598130841121495,41.836734693877546,7,5,14,16,50,0,59,0,72,70,37,0
2024-03-17,6.735751295336787,37.38317757009346,47.95918367346938,6,4,9,18,53,0,58,0,61,71,41,1
2024-03-24,7.772020725388597,35.51401869158878,38.77551020408163,7,5,6,18,56,0,45,12,60,65,38,1
